ISO,NODEI,NODEJ,LONFR,LATFR,LONTO,LATTO,PrdMIG
LBR,1,2,-8.772659347,6.80309289,-9.386645976,5.878730277,308.165623
LBR,1,3,-8.772659347,6.80309289,-7.872400445,5.287212889,328.2316738
LBR,1,4,-8.772659347,6.80309289,-8.814852733,5.347509177,451.3039412
LBR,1,5,-8.772659347,6.80309289,-10.81544453,6.698632754,355.8716681
LBR,1,6,-8.772659347,6.80309289,-9.646706768,6.948651529,1319.67957
LBR,1,7,-8.772659347,6.80309289,-10.31064976,7.396729195,347.0457005
LBR,1,8,-8.772659347,6.80309289,-11.03537396,7.093505173,288.389538
LBR,1,9,-8.772659347,6.80309289,-9.814847928,6.217867864,951.6466377
LBR,1,10,-8.772659347,6.80309289,-8.206300845,5.939130376,920.4293356
LBR,1,11,-8.772659347,6.80309289,-8.186622357,4.779776764,140.8649015
LBR,1,12,-8.772659347,6.80309289,-9.865181663,7.978003763,570.2765639
LBR,1,13,-8.772659347,6.80309289,-10.20874435,6.51474533,623.9290127
LBR,1,14,-8.772659347,6.80309289,-7.764821658,4.728779304,297.5167392
LBR,1,15,-8.772659347,6.80309289,-10.5480478,6.54193166,2878.505736
LBR,2,1,-9.386645976,5.878730277,-8.772659347,6.80309289,616.2301192
LBR,2,3,-9.386645976,5.878730277,-7.872400445,5.287212889,177.6903689
LBR,2,4,-9.386645976,5.878730277,-8.814852733,5.347509177,593.1734075
LBR,2,5,-9.386645976,5.878730277,-10.81544453,6.698632754,222.2737433
LBR,2,6,-9.386645976,5.878730277,-9.646706768,6.948651529,362.0998794
LBR,2,7,-9.386645976,5.878730277,-10.31064976,7.396729195,173.8638813
LBR,2,8,-9.386645976,5.878730277,-11.03537396,7.093505173,178.8208569
LBR,2,9,-9.386645976,5.878730277,-9.814847928,6.217867864,1094.506461
LBR,2,10,-9.386645976,5.878730277,-8.206300845,5.939130376,290.6945052
LBR,2,11,-9.386645976,5.878730277,-8.186622357,4.779776764,92.23280813
LBR,2,12,-9.386645976,5.878730277,-9.865181663,7.978003763,226.2436001
LBR,2,13,-9.386645976,5.878730277,-10.20874435,6.51474533,383.9704104
LBR,2,14,-9.386645976,5.878730277,-7.764821658,4.728779304,195.2331166
LBR,2,15,-9.386645976,5.878730277,-10.5480478,6.54193166,1639.207734
LBR,3,1,-7.872400445,5.287212889,-8.772659347,6.80309289,359.8323261
LBR,3,2,-7.872400445,5.287212889,-9.386645976,5.878730277,97.44925816
LBR,3,4,-7.872400445,5.287212889,-8.814852733,5.347509177,471.3826439
LBR,3,5,-7.872400445,5.287212889,-10.81544453,6.698632754,80.65734041
LBR,3,6,-7.872400445,5.287212889,-9.646706768,6.948651529,198.047003
LBR,3,7,-7.872400445,5.287212889,-10.31064976,7.396729195,66.91676066
LBR,3,8,-7.872400445,5.287212889,-11.03537396,7.093505173,67.45591704
LBR,3,9,-7.872400445,5.287212889,-9.814847928,6.217867864,242.4505286
LBR,3,10,-7.872400445,5.287212889,-8.206300845,5.939130376,766.1244901
LBR,3,11,-7.872400445,5.287212889,-8.186622357,4.779776764,322.4888725
LBR,3,12,-7.872400445,5.287212889,-9.865181663,7.978003763,102.6299025
LBR,3,13,-7.872400445,5.287212889,-10.20874435,6.51474533,168.0677653
LBR,3,14,-7.872400445,5.287212889,-7.764821658,4.728779304,815.3978667
LBR,3,15,-7.872400445,5.287212889,-10.5480478,6.54193166,669.8544884
LBR,4,1,-8.814852733,5.347509177,-8.772659347,6.80309289,448.3600901
